Word,词性,中文翻译,变形,备注
alert,v,告警,alerted,
all-in-one,n,一体化,,
alphanumeric,adj,字母与数字,,
altruistically,adv,利他地，无私地,,
anti-phishing,n,反网络钓鱼,,
application,n,应用程序,,
archive,n/v,存档,,
assessment,n,评估,,
Attack Surface,n,攻击面,,
backlink,n,反向链接，外链,backlinks,
benign,adj,良性,,
breach,n,漏洞，泄漏,breaches,
bucket,n,存储桶,buckets,
bug bounty,n,漏洞悬赏,bug bounties,
bypass,v,绕过,bypasses,
catalog,v,登记编目,catalogue,
cheat sheet,n,备忘单，速查表,cheat-sheet/cheatsheet/cheat sheets,
ciphersuite,n,密码套件,,
Cisco,n,思科,,公司
cloud exploitation,n,云开发,,
cloud native,adj,云原生,,
cmdlet,n,命令程序,command-let,
codebase,n,代码库,,
collection,n,收藏列表,collections,
comprehensive,adj,全面，综合,,
crack,v,破解,,
pre-cracked,adj,预破解,,
crypto,n,加密货币,,
curated list,n,精选列表,,
cyber defense,n,网络防御,,
cyber threat,n,网络威胁,,
cybersecurity vulnerability,n,网络安全漏洞,cybersecurity vulnerabilities,
cyberspace mapping,n,网络空间测绘,,
cyberspace surveying,n,网络空间调查,,
darknet,n,暗网,dark web,
data breach,n,数据泄漏,data breaches/databreach/databreaches,
database,n,数据库,db/DB,
datasource,n,数据源,,
debug,v,调试,,
deepweb,n,深网,deep-web,
define,v,定义,,
deliverability,n,可交付性,,
disclose,v,披露,disclosed,
domain intelligence,n,域名情报,,
domain,n,域，域名,,
Email Reputation,n,电子邮件声誉,,
encyclopedia,n,百科全书,,
exploit,n/v,漏洞利用,exploits,
exposure,n,曝光,,
find,v,查找，找到,,
first-degree connection,n,第一度联系,,
free,adj,免费，自由,,
geolocation,n,地理定位,,
identify,v,识别,,
image,n,图像,,
Indicator Of Compromise,n,失陷指标,,
infrastructure,n,基础设施,,
intelligence,n,情报,,
intelligence data,n,情报数据,,
Internet ecosystem,n,互联网生态系统,,
Internet noise,n,网络噪声,,
Internet of Everything,n,万物互联,,
inventory,n,库存,,
issue,n,问题，议题,,
landline,n,固定电话,,
launchpad,n,启动平台,,
leak,n/v,泄露，泄漏,,
likelihood,n,可能性,,
Living Off the Foreign Land,n,异国离地攻击技术（LOFTL）,,
Living Off The Land,n,离地攻击技术（LotL）,,
lookup,v,查询,,
Luxembourg,n,卢森堡,,欧洲内陆国家
MAC address,n,MAC地址,,
malicious,adj,恶意,,
management solution,n,管理解决方案,,
Microsoft,n,微软,,公司
network scanning,n,网络扫描,,
nulled scripts,n,未合法授权的脚本，破解的脚本,,
onion,n,洋葱，洋葱（路由）,,
open cloud,n,开放云,,
open source,n,开源,open-source,
originate,v,源自,originated,
outreach,v,拓展,,
passive DNS,n,被动DNS,,
payload,n,载荷,,
phishing,n,网络钓鱼,,
portfolio,n,产品组合,,
realtime,adj,实时,real-time,
Red Hat,n,红帽,,公司
repository,n,仓库，代码仓库，存储库,repositories/repos,
reputation score,n,声誉评分,,
reverse,n/v/adj,逆向，反向,,
reverse phone lookup,n,电话号码反查,,
routing registry,n,路由注册表,,
royalty-free,adj,免版税,,
search engine,n,搜索引擎,,
security,n,安全,,
security advisory,n,安全通告,security advisories,
security intelligence,n,安全情报,,
security monitoring,n,安全监控,,
security professional,n,安全专业人员,security professionals,
security researcher,n,安全研究人员,security researchers,
security vulnerability,n,安全漏洞,security vulnerabilities,
server,n,服务器,servers,
Shellcode,n,Shellcode，外壳代码,,
shortener service,n,网址缩短服务,,
showcase,n,展示,,
solution,n,方案,,
study case,n,案例研究,,
tactic,n,战术,tactic,
threat hunting,n,威胁狩猎,,
track,v,跟踪,,
traffic,n,流量,,
trusted source,n,可信来源,,
typosquatting,n,仿冒,typosquatted,
unexpected usage,n,意外用法,,
vendor,n,供应商,,
vulnerability,n,漏洞,vulnerabilities,
vulnerable,n,易受攻击,,
weakness,n,弱点,weaknesses,
Whitepaper,n,白皮书,Whitepapers,
wonderland,n,奇境,,
workspace,n,工作区，工作空间,workspaces,
Write-Up,n,详细报告,Write-Ups,
Zero Day,n,零日,,
Zero Day Initiative,n,零日倡议,,
ASN,n,自治系统号,Autonomous System Number,
BGP,n,边界网关协议,Border Gateway Protocol,
BTS,n,基站,Base Transceiver Station,
CellID,n,（蜂窝网络）小区识别码,Cell Identity,
CVE,n,通用漏洞和暴露,Common Vulnerabilities and Exposures,
DNS,n,域名系统,Domain Name System,
FDR,n,固件损坏修复,Firmware Damage Repair,
GSM,n,全球移动通信系统,Global System for Mobile Communications,
IoT,n,物联网,Internet of Things,
ISP,n,互联网服务提供商,Internet Service Provider,
IX,n,互联网交换,Internet Exchange,
LAC,n,位置区域码,Location Area Code,
MAC,n,媒体访问控制，媒体存取控制,Media Access Control, 
MCC,n,移动国家代码,Mobile Country Code,
MNC,n,移动网络代码,Mobile Network Code,
MX,n,邮件交换,Mail Exchange,
OPSEC,n,操作安全,Operational Security,
OSINT,n,开源情报,Open Source Intelligence
OUI,n,组织唯一标识符,Organizationally Unique Identifier,
PoC,n,即概念验证,Proof of Concept,
SEO,n,搜索引擎优化,Search Engine Optimization,
WMI,n,Windows管理规范,Windows Management Instrumentation,
